timestamp,acc.x,acc.y,acc.z
0.02,0.0,0.0,0.0
0.04,0.0,0.0,0.0
0.06,0.0,0.0,0.0
0.08,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.12,0.0,0.0,0.0
0.14,0.0,0.0,0.0
0.16,0.0,0.0,0.0
0.18,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.22,0.0,0.0,0.0
0.24,0.0,0.0,0.0
0.26,0.0,0.0,0.0
0.28,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.32,0.0,0.0,0.0
0.34,0.0,0.0,0.0
0.36,0.0,0.0,0.0
0.38,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.42,0.0,0.0,0.0
0.44,0.0,0.0,0.0
0.46,0.0015594876604154706,-0.09154623746871948,0.9873117804527283
0.48,0.0007596537470817566,-0.08693262934684753,0.9921659231185913
0.5,0.0008430886664427817,-0.09166084229946136,0.9855701327323914
0.52,0.0012584718642756343,-0.09011093527078629,0.986772894859314
0.54,0.001779108657501638,-0.09232943505048752,0.988247811794281
0.56,0.00427377549931407,-0.08903461694717407,0.9861642122268677
0.58,0.0027027928736060858,-0.08903033286333084,0.9857316017150879
0.6,0.0005454601487144828,-0.093391053378582,0.9885745048522949
0.62,-0.0014329006662592292,-0.09058716893196106,0.9893573522567749
0.64,-0.0011730269761756063,-0.09154251217842102,0.9879591464996338
0.66,5.326949030859396e-05,-0.08895644545555115,0.994192361831665
0.68,0.0029718708246946335,-0.09067871421575546,0.9956011772155762
0.7,6.875983672216535e-05,-0.09041987359523773,0.9967045783996582
0.72,-0.0022243040148168802,-0.0920478031039238,0.9998080134391785
0.74,0.0013229824835434556,-0.09226280450820923,0.9977865219116211
0.76,0.0001641761336941272,-0.09060007333755493,0.9941391944885254
0.78,0.0020024797413498163,-0.0870794877409935,0.9989755749702454
0.8,-0.0005558848497457802,-0.09282167255878448,0.9970604181289673
0.82,-0.0009312622714787722,-0.09068862348794937,0.9938411116600037
0.84,4.382753468235023e-05,-0.09499410539865494,0.9961585402488708
0.86,-0.0018886037869378924,-0.09126987308263779,0.996387779712677
0.88,-0.0020815518219023943,-0.09321383386850357,0.9960914254188538
0.9,0.0009390573832206428,-0.09507188946008682,0.9986984729766846
0.92,-0.0016423602355644107,-0.09208059310913086,0.9963669776916504
0.94,-0.0018646687967702746,-0.09120794385671616,0.9954000115394592
0.96,0.0028020560275763273,-0.08857057243585587,0.9961357116699219
0.98,0.0022425635252147913,-0.0944255068898201,0.9980641603469849
1.0,-0.00014783251390326768,-0.09223343431949615,0.99728924036026
1.02,-0.0038325621280819178,-0.09173552691936493,0.995847761631012
